15|978-715-5012-8677-4|123456788|12/10/2000|13/10/2000|12/10/2000
15|978-501-7648-1003-6|123456788|12/10/2000|13/10/2000|12/10/2000
16|978-3-16-148410-0|123456788|14/01/2025|12/10/2025|14/01/2025
17|978-3-16-148410-0|123456789|14/01/2025|02/03/2025|14/01/2025
18|978-3-16-148410-0|123456789|14/01/2025|03/12/2025|14/01/2025
25|978-3-16-148410-0|123456789|14/01/2025|12/12/2025|14/01/2025
26|978-3-16-148410-0|123456789|14/01/2025|12/10/2025|14/01/2025
27|978-3-16-148410-0|123456789|14/01/2025|12/12/2025|14/01/2025
28|978-3-16-148410-0|123456789|14/01/2025|12/10/2026|14/01/2025
29|978-3-16-148410-9|123456789|15/01/2025|12/10/2025|15/01/2025
34|978-3-16-148410-3|123456789|15/01/2025|20/12/2025|15/01/2025
35|978-715-5012-8677-4|23232323|15/01/2025|12/10/2025|15/01/2025
35|978-3-16-148410-1|23232323|15/01/2025|12/10/2025|15/01/2025
35|978-3-16-148410-1|123777788|15/01/2025|12/01/2025|15/01/2025
38|978-715-5012-8677-4|123456788|15/01/2025|12/10/2024|17/01/2025
11|978-3-16-148410-1|123456789|16/01/2025|12/10/2025|16/01/2025
11|978-3-16-148410-1|123456789|16/01/2025|12/10/2025|16/01/2025
13|978-3-16-148410-3|123456788|16/01/2025|12/02/2025|16/01/2025
13|978-3-16-148410-3|123456788|16/01/2025|12/02/2025|16/01/2025
19|978-3-16-148410-3|123456789|16/01/2025|12/11/2025|16/01/2025
20|978-3-16-148410-4|123456788|16/01/2025|12/11/2025|16/01/2025
